Time,itemName,unitPrice
2025-02-14 10:17,레전더리 소울 결정,1365439
2025-02-14 10:17,에픽 소울 결정,4662920
2025-02-14 10:17,태초 소울 결정,54906551
2025-02-15 09:01,무색 큐브 조각,53
2025-02-15 09:01,모순의 결정체,55162
2025-02-15 09:01,레어 소울 결정,82030
2025-02-15 09:01,유니크 소울 결정,269075
2025-02-15 09:01,레전더리 소울 결정,1474497
2025-02-15 09:01,에픽 소울 결정,4378334
2025-02-15 09:01,태초 소울 결정,52296140
